"ticket_id","title","type","priority","summary","acceptance_criteria","dependencies","estimated_effort","labels","status"
"STRW-001","Database migration: add stripe_session_id to orders table","Task","Critical","Add the stripe_session_id column to the existing orders table and create an index on it. This column links website orders to their Stripe Checkout session and serves as the idempotency key in the webhook handler. The column is non-unique because a single session can produce multiple order rows (one per sticker in the cart).","1. Migration file exists at supabase/migrations/add_stripe_session_id.sql; 2. Migration contains: ALTER TABLE orders ADD COLUMN IF NOT EXISTS stripe_session_id TEXT; 3. Migration contains: CREATE INDEX IF NOT EXISTS idx_orders_stripe_session_id ON orders(stripe_session_id); 4. Migration is idempotent — running it twice does not throw an error; 5. Column is NOT NULL-constrained to false so existing Etsy rows are unaffected; 6. Migration runs successfully against a local or staging Supabase instance with zero downtime; 7. The index is confirmed present via \\d orders in psql","None","XS","database,migration,backend","To Do"
"STRW-002","Scaffold Next.js 15 project with TypeScript, Tailwind CSS, and shadcn/ui","Task","Critical","Initialize the sticker-trendz-web repository with Next.js 15 (App Router, TypeScript), Tailwind CSS, and shadcn/ui. Establish the folder structure defined in the spec including app/, components/shop/, components/admin/, lib/, types/, and supabase/migrations/ directories. Configure next.config.ts for R2 image domains and set up .env.local.example with all required environment variable keys.","1. npx create-next-app@latest runs successfully with TypeScript, App Router, and Tailwind CSS flags; 2. shadcn/ui is initialized (npx shadcn-ui@latest init) and at least the Button and Card primitives are available; 3. Directory structure matches the spec exactly: app/(shop)/, app/(admin)/admin/, app/api/, components/shop/, components/admin/, lib/, types/, supabase/migrations/; 4. next.config.ts includes images.remotePatterns entry allowing the R2 CDN domain (read from NEXT_PUBLIC_R2_PUBLIC_URL); 5. .env.local.example contains all 8 required keys: NEXT_PUBLIC_SUPABASE_URL, SUPABASE_SERVICE_KEY, NEXT_PUBLIC_R2_PUBLIC_URL, NEXT_PUBLIC_STRIPE_PUBLISHABLE_KEY, STRIPE_SECRET_KEY, STRIPE_WEBHOOK_SECRET, ADMIN_SECRET, NEXT_PUBLIC_BASE_URL; 6. npm run dev starts without errors; 7. npm run build completes without TypeScript errors","None","S","setup,scaffolding,frontend,infrastructure","To Do"
"STRW-003","Supabase client and shared TypeScript types","Task","Critical","Create the Supabase JS client singleton in lib/supabase.ts (server-side using SUPABASE_SERVICE_KEY) and define all shared TypeScript types in types/index.ts. Types must cover the stickers table, orders table, daily_metrics view, and the cart item shape used by Zustand. This is a foundational module that all server components and API routes will import.","1. lib/supabase.ts exports a createClient() helper (or singleton) using SUPABASE_SERVICE_KEY — it is never imported on the client; 2. types/index.ts exports Sticker interface matching all columns in the stickers table schema from the spec; 3. types/index.ts exports Order interface matching all columns in the orders table schema (including stripe_session_id); 4. types/index.ts exports DailyMetric interface matching all columns used by the admin dashboard (date, orders, gross_revenue, estimated_profit, new_listings, avg_order_value, cogs, etsy_fees); 5. types/index.ts exports CartItem interface with fields: stickerId, title, thumbnailUrl, price, quantity; 6. No TypeScript errors on tsc --noEmit; 7. SUPABASE_SERVICE_KEY is confirmed server-only — not prefixed with NEXT_PUBLIC_ and not imported in any client component","STRW-002","S","backend,database,types,infrastructure","To Do"
"STRW-004","Stripe client library and checkout session helper","Task","Critical","Create lib/stripe.ts initializing the Stripe Node SDK with STRIPE_SECRET_KEY. Export a typed createCheckoutSession helper that accepts validated cart items and returns a Stripe Checkout Session URL. This module is consumed by the POST /api/checkout route.","1. lib/stripe.ts initializes Stripe with STRIPE_SECRET_KEY and the correct API version; 2. Module is server-only — never imported in client components; 3. A createCheckoutSession function is exported that accepts an array of { stickerId, title, imageUrl, unitPrice, quantity } objects; 4. The function creates a Stripe Checkout session with mode: 'payment', shipping_address_collection enabled for US addresses, and free shipping; 5. The session's success_url points to NEXT_PUBLIC_BASE_URL/checkout/success?session_id={CHECKOUT_SESSION_ID}; 6. The session's cancel_url points back to NEXT_PUBLIC_BASE_URL/; 7. Each cart item becomes a line_item with name, images, unit_amount in cents, and quantity; 8. Session metadata includes a JSON-serialized cart summary (stickerId + quantity per item) for use in the webhook; 9. TypeScript compiles without errors","STRW-002","S","backend,stripe,payments,infrastructure","To Do"
"STRW-005","Zustand cart store with localStorage persistence","Task","Critical","Implement the client-side cart state in lib/cart.ts using Zustand with the persist middleware backed by localStorage. Export the useCartStore hook with actions for addItem, removeItem, updateQuantity, clearCart, and a computed cartTotal selector. This is used by CartDrawer, StickerCard, and the checkout flow.","1. Zustand store is created with persist middleware using localStorage key 'sticker-trendz-cart'; 2. Store state contains items: CartItem[] where CartItem has stickerId, title, thumbnailUrl, price, quantity; 3. addItem action: if sticker already in cart increments quantity by 1, otherwise appends new item; 4. removeItem action: removes item by stickerId; 5. updateQuantity action: sets quantity for a stickerId, removes item if quantity reaches 0; 6. clearCart action: resets items to []; 7. cartTotal selector returns sum of price * quantity for all items, rounded to 2 decimal places; 8. itemCount selector returns total quantity across all items; 9. Cart state survives full page reload — verified by adding an item and hard-refreshing; 10. No server-side import errors — store is client-only and wrapped in a check for window","STRW-002,STRW-003","S","frontend,cart,state-management","To Do"
"STRW-006","Admin middleware for route protection","Task","Critical","Implement Next.js middleware in app/middleware.ts (or middleware.ts at root) to protect all /admin/* routes except /admin/login. Middleware reads the admin_token HttpOnly cookie, validates its HMAC signature against ADMIN_SECRET, and redirects unauthenticated requests to /admin/login. This is a security-critical piece and must be correct before any admin pages are built.","1. middleware.ts matches the pattern /admin/:path* but excludes /admin/login; 2. GIVEN a request to any /admin/* route without an admin_token cookie WHEN middleware runs THEN the request is redirected to /admin/login with a 307 status; 3. GIVEN a request with a valid admin_token cookie WHEN middleware runs THEN the request passes through without redirect; 4. GIVEN a request with a tampered or expired admin_token cookie WHEN middleware runs THEN the request is redirected to /admin/login; 5. The admin_token cookie is validated using HMAC-SHA256 of (ADMIN_SECRET + timestamp); 6. Tokens older than 24 hours are rejected; 7. Middleware does not block any non-admin routes; 8. TypeScript compiles without errors","STRW-002","S","backend,auth,security,middleware","To Do"
"STRW-007","POST /api/admin/login — password validation and cookie issuance","Task","Critical","Implement the POST /api/admin/login API route. It receives a password from the login form, compares it to ADMIN_SECRET, and on success sets an HttpOnly admin_token cookie containing an HMAC-signed token with a 24-hour TTL. On failure it returns a 401 with an error message.","1. Route accepts POST with JSON body { password: string }; 2. GIVEN correct password WHEN POST /api/admin/login is called THEN response sets an HttpOnly, Secure, SameSite=Lax admin_token cookie and returns 200 with { success: true }; 3. GIVEN incorrect password WHEN POST /api/admin/login is called THEN response returns 401 with { error: 'Invalid password' } and does NOT set a cookie; 4. admin_token value is HMAC-SHA256(ADMIN_SECRET + current Unix timestamp in seconds); 5. Cookie expires in 24 hours; 6. Cookie has HttpOnly: true and Secure: true flags; 7. Missing password field in body returns 400; 8. Route is only accessible via POST — GET returns 405","STRW-002,STRW-006","S","backend,auth,api,security","To Do"
"STRW-008","Shop homepage — sticker grid with filter and sort","Story","Critical","Build the shop homepage at app/(shop)/page.tsx. It fetches all published and approved stickers from Supabase via a server component, then renders them in a responsive StickerGrid. Includes TierFilter (filter by pricing tier badge) and sort controls (newest / price ascending / price descending). Sets correct SEO metadata.","1. Page fetches stickers WHERE published_at IS NOT NULL AND moderation_status = 'approved' ORDER BY published_at DESC via Supabase server-side query; 2. Grid is responsive: 1 column on mobile (<640px), 2 columns on sm (640px+), 4 columns on lg (1024px+); 3. TierFilter component renders four filter buttons: Just Dropped, Trending, Cooling, Evergreen; selecting a tier filters the grid to only that tier; 4. A reset/All button clears the active tier filter; 5. Sort control allows switching between Newest (default), Price: Low to High, Price: High to Low; 6. Filter and sort can be combined (e.g. Trending + Price ascending); 7. GIVEN no stickers match the active filter THEN an empty state message 'No stickers found' is shown with a reset filter button; 8. Page <title> is 'Sticker Trendz — Trending Stickers, Delivered'; 9. Page <meta description> is set; 10. Each StickerCard shows thumbnail, title, tier badge, and price; 11. Page renders correctly with no stickers in DB (empty catalog)","STRW-003,STRW-009,STRW-010,STRW-011","M","frontend,shop,ui","To Do"
"STRW-009","StickerCard and TierBadge components","Task","High","Build the StickerCard component (components/shop/StickerCard.tsx) and TierBadge component (components/shop/TierBadge.tsx). StickerCard renders the sticker thumbnail, title, tier badge, and price. It links to the product detail page and includes an Add to Cart button that calls the Zustand cart store. TierBadge maps pricing_tier values to colored pill labels per the spec color table.","1. StickerCard renders thumbnail_url as a Next.js <Image> with proper width/height and alt text; 2. StickerCard shows sticker title, formatted price (e.g. $4.49), and TierBadge; 3. StickerCard links to /stickers/[id]; 4. Add to Cart button calls cartStore.addItem() with correct CartItem shape; 5. TierBadge renders correct label and background color per spec: just_dropped=red/orange, trending=blue, cooling=slate, evergreen=green; 6. TierBadge is accessible — color is not the only indicator (label text is always present); 7. StickerCard handles missing thumbnail_url gracefully (fallback placeholder image or the image_url); 8. Components are TypeScript-typed with no implicit any","STRW-003,STRW-005","S","frontend,shop,ui,components","To Do"
"STRW-010","TierFilter and sort controls component","Task","High","Build the TierFilter (components/shop/TierFilter.tsx) component that emits the selected tier up to the parent shop page. Also build inline sort controls on the shop page. These are client components since they manage interactive filter state.","1. TierFilter renders five options: All (default), Just Dropped, Trending, Cooling, Evergreen; 2. Active tier is visually highlighted (e.g. filled button vs outlined); 3. Selecting a tier calls an onFilterChange callback with the tier string; 4. Clicking the active tier again or clicking 'All' resets to no filter; 5. Sort control renders a <select> or button group with options: Newest, Price: Low to High, Price: High to Low; 6. Filter and sort state are managed in the parent page (or via URL search params for shareability); 7. Filter and sort controls are keyboard accessible (Tab + Enter/Space); 8. Components are marked 'use client' appropriately","STRW-002","S","frontend,shop,ui,components","To Do"
